##Comments section ##,S2T--RETAIL_MORTGAGE_PROP_DERV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TECHNICAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL/TECHNICAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL/TECHNICAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS,FUNCTIONAL ANALYSIS
key,title,description,steward:user,business unit ownership,data classification,data domain,data accesss group,alternative name(s),business usage,business process,business rules,system of records,info class rationale,permissible values,sample values,master reference data,prBEWEDling,data sampling
TARGET_BOLL.RETAIL_MORTGAGE_PROP_DERV,Business View Retail Banking Services Account Mortgaged Property Derived,This table provide the details of HOUSE and PLOT VLOC accounts and the count of Mortgaged investment property count,Saba,Retail,Customer & personal,Home buying,Malvia Properties - Data - Restricted Home Buying Access,,This table data which contains count of mortgaged investment property count is sent to GTRS and made available in BAL layer,,,,N/A,,,YES,,
TARGET_BOLL.RETAIL_MORTGAGE_PROP_DERV.ACCOUNT_ID,Account Identifier Business Key,Unique identifier for HOUSE & PLOT accounts and it is in business key format of the Malvia Properties framework,Saba,Retail,Customer & personal,Home buying,Malvia Properties - Data - Restricted Home Buying Access,,,No PII Involved,"Source Column:ACCOUNT_ID
Source table: SRC_REF.ACC_DETAIL
Mapping Logic:1-1",SRC_REF_ACC_DETAIL,N/A,VARCHAR(255),"HOUSE~467859222
PLOT~279913492426",YES,Cannot be NULL,N/A
TARGET_BOLL.RETAIL_MORTGAGE_PROP_DERV.LOAD_DATE,Load Date,Business date,Saba,Retail,Customer & personal,Home buying,Malvia Properties - Data - Restricted Home Buying Access,,,No PII Involved,Business date,NA,N/A,DATE,20/07/2022,YES,Cannot be NULL,N/A
TARGET_BOLL.RETAIL_MORTGAGE_PROP_DERV.PROP_COUNT,Mortgaged Investment Property Count,This column provides count of mortgaged investment property linked to home loan account. This count exclusively include the investment property,Saba,Retail,Customer & personal,Home buying,Malvia Properties - Data - Restricted Home Buying Access,,,No PII Involved,"Source Column:ACCOUNT_ID, CMS_EXACT_MATCH_KEY as FULL_ADDRS
Source table: TARGET_BOLL_PII.RETAIL_MORTGAGE_PROP_DETL
DATA_CUSTOMER.CSE_ASET_AL_PROP_CURR
Mapping Logic: Derived
COUNT(DISTINCT INV_FULL_ADDRS) AS CNT WHERE PROP_CATG='INVESTMENT PROPERTY'",NA,N/A,,,YES,,
TARGET_BOLL.RETAIL_MORTGAGE_PROP_DERV.PROP_FLAG,Mortgaged Investment Property Flag,This column indicates whether the number of mortgaged investment property linked to loan account >5 or not,Saba,Retail,Customer & personal,Home buying,Malvia Properties - Data - Restricted Home Buying Access,,,No PII Involved,"Source Column:ACCOUNT_ID, CMS_EXACT_MATCH_KEY as FULL_ADDRS
Source table: TARGET_BOLL_PII.RETAIL_MORTGAGE_PROP_DETL
DATA_CUSTOMER.CSE_ASET_AL_PROP_CURR
Mapping Logic: Derived
COUNT(DISTINCT INV_FULL_ADDRS) AS CNT>5, THEN Y ELSE N",NA,N/A,,,YES,,
TARGET_BOLL.RETAIL_MORTGAGE_PROP_DERV.SRCE_CODE,Source System Code,Unique account identifier from the source system example: HOUSE & PLOT systems,Saba,Retail,Customer & personal,Home buying,Malvia Properties - Data - Restricted Home Buying Access,,,No PII Involved,"Source Column: SRC_IND
Source table: SRC_REF.ACC_DETAIL
Mapping Logic:1-1",SRC_REF_ACC_DETAIL,N/A,CHAR(4),"HOUSE, PLOT",YES,Cannot be NULL,"HOUSE, PLOT"
,,,,,,,,,,,,,,,,,,
S2T--RETAIL_MORTGAGE_PROP_DETL,,,,,,,,,,,,,,,,,,
